Time,*gc_ldsq_t0/SQ_CAC_sig0_active,*gc_ldsq_t0/SQ_CAC_sig1_active,*gc_ldsq_t0/SQ_CAC_sig2_active,*gc_ldsq_t0/SQ_CAC_sig3_active,*gc_ldsq_t0/SQ_CAC_sig4_active,*gc_ldsq_t0/SQ_CAC_sig5_active,*gc_ldsq_t0/SQ_CAC_sig6_active,*gc_ldsq_t0/SQ_CAC_sig7_active,*gc_ldsq_t0/SQ_CAC_sig8_active,gc_sp_t
25313251,0,0,0,0,0,0,0,0,0,0.0596
25313320,0,0,0,0,0,0,0,0,0,0.05961
25313389,0,0,0,0,0,0,0,0,0,0.05985
25313458,0,0,0,0,0,0,0,0,0,0.06028
25313527,0,0,0,0,0,0,0,0,0,0.0596
25313596,0,0,0,0,0,0,0,0,0,0.05962
25313665,0,0,0,0,0,0,0,0,0,0.05986
25313734,0,0,0,0,0,0,0,0,0,0.06028
25313803,0,0,0,0,0,0,0,0,0,0.0596
25313872,0,0,0,0,0,0,0,0,0,0.05961
25313941,0,0,0,0,0,0,0,0,0,0.05986
25314010,0,0,0,0,0,0,0,0,0,0.06028
25314079,0,0,0,0,0,0,0,0,0,0.0596
25314148,0,0,0,0,0,0,0,0,0,0.05961
25314217,0,0,0,0,0,0,0,0,0,0.05986
25314286,0,0,0,0,0,0,0,0,0,0.06028
25314355,0,0,0,0,0,0,0,0,0,0.0596
25314424,0,0,0,0,0,0,0,0,0,0.05961
25314493,0,0,0,0,0,0,0,0,0,0.05985
25314562,0,0,0,0,0,0,0,0,0,0.06028
25314631,0,0,0,0,0,0,0,0,0,0.05961
25314700,0,0,0,0,0,0,0,0,0,0.05961
25314769,0,0,0,0,0,0,0,0,0,0.05986
25314838,0,0,0,0,0,0,0,0,0,0.06028
25314907,0,0,0,0,0,0,0,0,0,0.05961
25314976,0,0,0,0,0,0,0,0,0,0.020804
25315045,0,0,0,0,0,0,0,0,0,0.05947
25315114,0,0,0,0,0,0,0,0,0,0.06
25315183,0,0,0,0,0,0,0,0,0,0.0602
25315252,0,0,0,0,0,0,0,0,0,0.0597
25315321,0,0,0,0,0,0,0,0,0,0.05948
25315390,0,0,0,0,0,0,0,0,0,0.06001
25315459,0,0,0,0,0,0,0,0,0,0.0602
25315528,0,0,0,0,0,0,0,0,0,0.0597
25315597,0,0,0,0,0,0,0,0,0,0.05948
25315666,0,0,0,0,0,0,0,0,0,0.06001
25315735,0,0,0,0,0,0,0,0,0,0.0602
25315804,0,0,0,0,0,0,0,0,0,0.0597
25315873,0,0,0,0,0,0,0,0,0,0.05948
25315942,0,0,0,0,0,0,0,0,0,0.06002
25316011,0,0,0,0,0,0,0,0,0,0.0602
25316080,0,0,0,0,0,0,0,0,0,0.0597
25316149,0,0,0,0,0,0,0,0,0,0.05948
25316218,0,0,0,0,0,0,0,0,0,0.06001
25316287,0,0,0,0,0,0,0,0,0,0.06019
25316356,0,0,0,0,0,0,0,0,0,0.05971
25316425,0,0,0,0,0,0,0,0,0,0.05949
